frame.number	frame.time_relative	usb.endpoint_address	usb.endpoint_address.direction	usb.endpoint_address.number	usb.transfer_type	usb.urb_type	usb.data_len	usb.capdata
1350	7.873154000	0x02	0	2	0x03		0	
1351	7.873195000	0x82	1	2	0x03		0	
1362	7.953446000	0x82	1	2	0x03		12	0c01000200f8000000000000
1363	7.953530000	0x02	0	2	0x03		28	0a9100080014000001ffffffffffffffff3500460000000000000000
1364	7.953597000	0x02	0	2	0x03		0	
1365	7.953633000	0x82	1	2	0x03		0	
1366	7.954012000	0x82	1	2	0x03		8	0a01000800f80000
1367	7.954040000	0x02	0	2	0x03		12	0c9100040004000027000000
1368	7.954087000	0x02	0	2	0x03		0	
1369	7.954113000	0x82	1	2	0x03		0	
1370	7.954434000	0x82	1	2	0x03		12	0c01000400f8000000000000
1371	7.954479000	0x02	0	2	0x03		8	0191000c00000000
1372	7.954567000	0x02	0	2	0x03		0	
1373	7.954597000	0x82	1	2	0x03		0	
1374	7.954627000	0x82	1	2	0x03		12	0101000c00f8000061125010
1375	7.954648000	0x02	0	2	0x03		8	0191000100000000
1376	7.954686000	0x02	0	2	0x03		0	
1377	7.954701000	0x82	1	2	0x03		0	
1378	7.954853000	0x82	1	2	0x03		8	0104000100f80000
1379	7.954871000	0x02	0	2	0x03		12	089100020004000001000000
1380	7.954911000	0x02	0	2	0x03		0	
1381	7.954937000	0x82	1	2	0x03		0	
1382	7.955024000	0x82	1	2	0x03		8	0804000200f80000
1383	7.955041000	0x02	0	2	0x03		12	0391000a0004000005000000
1384	7.955089000	0x02	0	2	0x03		0	
1385	7.955104000	0x82	1	2	0x03		0	
1386	7.955215000	0x82	1	2	0x03		8	0301000a00f80000
1387	7.955254000	0x02	0	2	0x03		16	0391000d000800000100ffffffffffff
1388	7.955341000	0x02	0	2	0x03		0	
1389	7.955386000	0x82	1	2	0x03		0	
1390	7.956070000	0x82	1	2	0x03		12	0301000d00f8000001000000
1395	7.960849000	0x81	1	1	0x01		64	
1396	7.960876000	0x81	1	1	0x01		0	
1397	7.964850000	0x81	1	1	0x01		64	
1398	7.964871000	0x81	1	1	0x01		0	
1400	7.968851000	0x81	1	1	0x01		64	
1401	7.968871000	0x81	1	1	0x01		0	
1404	7.972864000	0x81	1	1	0x01		64	
1405	7.972883000	0x81	1	1	0x01		0	
1410	7.976876000	0x81	1	1	0x01		64	
1411	7.976890000	0x81	1	1	0x01		0	
1414	7.980851000	0x81	1	1	0x01		64	
1415	7.980862000	0x81	1	1	0x01		0	
1418	7.984850000	0x81	1	1	0x01		64	
1419	7.984869000	0x81	1	1	0x01		0	
1424	7.988850000	0x81	1	1	0x01		64	
1425	7.988864000	0x81	1	1	0x01		0	
1428	7.992846000	0x81	1	1	0x01		64	
1429	7.992866000	0x81	1	1	0x01		0	
1438	7.996848000	0x81	1	1	0x01		64	
1439	7.996862000	0x81	1	1	0x01		0	
1446	8.000869000	0x81	1	1	0x01		64	
1447	8.000885000	0x81	1	1	0x01		0	
1450	8.004849000	0x81	1	1	0x01		64	
1451	8.004869000	0x81	1	1	0x01		0	
1454	8.008847000	0x81	1	1	0x01		64	
1455	8.008867000	0x81	1	1	0x01		0	
1460	8.012851000	0x81	1	1	0x01		64	
1461	8.012867000	0x81	1	1	0x01		0	
1465	8.016850000	0x81	1	1	0x01		64	
1466	8.016865000	0x81	1	1	0x01		0	
1467	8.020849000	0x81	1	1	0x01		64	
1468	8.020869000	0x81	1	1	0x01		0	
1469	8.024849000	0x81	1	1	0x01		64	
1470	8.024868000	0x81	1	1	0x01		0	
1473	8.028873000	0x81	1	1	0x01		64	
1474	8.028895000	0x81	1	1	0x01		0	
1475	8.032851000	0x81	1	1	0x01		64	
1476	8.032874000	0x81	1	1	0x01		0	
1477	8.036849000	0x81	1	1	0x01		64	
1478	8.036870000	0x81	1	1	0x01		0	
1479	8.040885000	0x81	1	1	0x01		64	
1480	8.040904000	0x81	1	1	0x01		0	
1481	8.044849000	0x81	1	1	0x01		64	
1482	8.044869000	0x81	1	1	0x01		0	
1483	8.048850000	0x81	1	1	0x01		64	
1484	8.048870000	0x81	1	1	0x01		0	
1489	8.052846000	0x81	1	1	0x01		64	
1490	8.052857000	0x81	1	1	0x01		0	
1491	8.056848000	0x81	1	1	0x01		64	
1492	8.056867000	0x81	1	1	0x01		0	
1495	8.060849000	0x81	1	1	0x01		64	
1496	8.060865000	0x81	1	1	0x01		0	
1497	8.064848000	0x81	1	1	0x01		64	
1498	8.064867000	0x81	1	1	0x01		0	
1499	8.068849000	0x81	1	1	0x01		64	
1500	8.068869000	0x81	1	1	0x01		0	
1501	8.072849000	0x81	1	1	0x01		64	
1502	8.072869000	0x81	1	1	0x01		0	
1505	8.076846000	0x81	1	1	0x01		64	
1506	8.076856000	0x81	1	1	0x01		0	
1507	8.080849000	0x81	1	1	0x01		64	
1508	8.080869000	0x81	1	1	0x01		0	
1509	8.084849000	0x81	1	1	0x01		64	
1510	8.084922000	0x81	1	1	0x01		0	
1511	8.088850000	0x81	1	1	0x01		64	
1512	8.088868000	0x81	1	1	0x01		0	
1513	8.092850000	0x81	1	1	0x01		64	
1514	8.092871000	0x81	1	1	0x01		0	
1515	8.096897000	0x81	1	1	0x01		64	
1516	8.096917000	0x81	1	1	0x01		0	
1521	8.100850000	0x81	1	1	0x01		64	
1522	8.100870000	0x81	1	1	0x01		0	
1523	8.104849000	0x81	1	1	0x01		64	
1524	8.104868000	0x81	1	1	0x01		0	
1525	8.108849000	0x81	1	1	0x01		64	
1526	8.108870000	0x81	1	1	0x01		0	
1527	8.112848000	0x81	1	1	0x01		64	
1528	8.112867000	0x81	1	1	0x01		0	
1529	8.116850000	0x81	1	1	0x01		64	
1530	8.116870000	0x81	1	1	0x01		0	
1535	8.120874000	0x81	1	1	0x01		64	
1536	8.120886000	0x81	1	1	0x01		0	
1537	8.124851000	0x81	1	1	0x01		64	
1538	8.124870000	0x81	1	1	0x01		0	
1539	8.128849000	0x81	1	1	0x01		64	
1540	8.128868000	0x81	1	1	0x01		0	
1541	8.132849000	0x81	1	1	0x01		64	
1542	8.132877000	0x81	1	1	0x01		0	
1543	8.136849000	0x81	1	1	0x01		64	
1544	8.136869000	0x81	1	1	0x01		0	
1547	8.140867000	0x81	1	1	0x01		64	
1548	8.140878000	0x81	1	1	0x01		0	
1549	8.144861000	0x81	1	1	0x01		64	
1550	8.144880000	0x81	1	1	0x01		0	
1551	8.148849000	0x81	1	1	0x01		64	
